PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
3735,55209,16.00,0.00,v5_7_0,v5_7_0,good,20.6,505,123,116,156,100,boss,commissioning,boss1,10058,DR9
3736,55214,17.00,0.00,v5_7_0,v5_7_0,good,11.6,445,121,105,214,115,boss,commissioning,boss1,10059,DR9
3744,55209,38.00,0.00,v5_7_0,v5_7_0,good,13.0,477,139,136,142,106,boss,commissioning,boss1,10080,DR9
3745,55234,39.00,0.00,v5_7_0,v5_7_0,good,19.2,489,133,122,114,142,boss,commissioning,boss1,10081,DR9
3751,55234,117.23,33.90,v5_7_0,v5_7_0,good,21.6,534,121,160,105,80,boss,boss,boss3,10134,DR9
3752,55236,118.24,30.37,v5_7_0,v5_7_0,good,18.6,435,100,260,125,80,boss,boss,boss3,10154,DR9
3753,55486,118.34,31.88,v5_7_0,v5_7_0,good,21.4,557,97,177,89,80,boss,boss,boss3,10155,DR9
3754,55488,119.42,34.21,v5_7_0,v5_7_0,good,28.9,502,161,162,90,85,boss,boss,boss3,10137,DR9
3755,55504,120.66,30.87,v5_7_0,v5_7_0,good,11.4,521,126,132,141,80,boss,boss,boss3,10156,DR9
3756,55505,121.03,32.57,v5_7_0,v5_7_0,good,20.4,568,105,153,94,80,boss,boss,boss3,10157,DR9
3757,55508,122.01,34.78,v5_7_0,v5_7_0,good,17.2,496,144,186,83,91,boss,boss,boss3,10141,DR9
3758,55506,123.65,33.14,v5_7_0,v5_7_0,good,19.7,574,117,124,105,80,boss,boss,boss3,10158,DR9
3759,55236,124.38,35.11,v5_7_0,v5_7_0,good,18.2,543,145,122,110,80,boss,boss,boss3,10146,DR9
3760,55268,125.84,37.66,v5_7_0,v5_7_0,good,18.8,556,126,117,102,99,boss,boss,boss3,10147,DR9
3761,55272,126.66,39.66,v5_7_0,v5_7_0,good,15.0,520,156,107,95,122,boss,boss,boss3,10148,DR9
3762,55507,127.52,36.00,v5_7_0,v5_7_0,good,18.0,546,165,104,98,87,boss,boss,boss3,10150,DR9
3763,55508,128.27,37.92,v5_7_0,v5_7_0,good,19.4,586,111,113,77,113,boss,boss,boss3,10151,DR9
3764,55514,129.23,39.99,v5_7_0,v5_7_0,good,14.8,516,149,117,109,109,boss,boss,boss3,10152,DR9
3765,55508,130.94,38.31,v5_7_0,v5_7_0,good,20.8,568,146,109,63,114,boss,boss,boss3,10153,DR9
3766,55213,139.32,-1.89,v5_7_0,v5_7_0,good,27.5,527,93,194,67,119,boss,boss,boss4,10180,DR9
3767,55214,143.69,-1.88,v5_7_0,v5_7_0,good,17.9,484,146,157,97,116,boss,boss,boss4,10188,DR9
3768,55564,148.48,-1.85,v5_7_0,v5_7_0,good,15.2,535,90,130,145,100,boss,boss,boss4,10194,DR9
3769,55240,152.32,-1.83,v5_7_0,v5_7_0,good,17.5,492,103,191,132,82,boss,boss,boss4,10196,DR9
3770,55234,156.10,-1.80,v5_7_0,v5_7_0,good,22.4,552,121,137,110,80,boss,boss,boss4,10200,DR9
3771,55544,159.97,-1.77,v5_7_0,v5_7_0,good,25.7,506,125,159,124,86,boss,boss,boss4,10227,DR9
3772,55277,163.36,-1.75,v5_7_0,v5_7_0,good,17.8,554,102,141,115,88,boss,boss,boss4,10226,DR9
3773,55240,166.75,-1.71,v5_7_0,v5_7_0,good,21.4,632,81,97,108,82,boss,boss,boss4,10224,DR9
3774,55244,170.57,-1.67,v5_7_0,v5_7_0,good,29.1,633,90,105,85,87,boss,boss,boss4,10222,DR9
3775,55207,174.82,-1.64,v5_7_0,v5_7_0,good,20.2,521,121,124,142,92,boss,boss,boss4,10220,DR9
