 obs_wave   obs_eint  obs_pint
 315.7108  1.7522e-01    14.91
 315.7133 -9.6077e-03    -0.82
 315.7158  3.2599e-02     2.77
 315.7183  6.6127e-01    56.26
 315.7208  9.5712e-01    81.43
 315.7233  9.4830e-01    80.68
 315.7258  7.4194e-01    63.12
 315.7283  8.2339e-01    70.05
 315.7308  9.7616e-01    83.05
 315.7333  7.1856e-01    61.14
 315.7358  4.3162e-01    36.72
 315.7383 -1.2828e-01   -10.91
 315.7408 -7.1194e-01   -60.57
 315.7433 -6.7655e-02    -5.76
 315.7458  8.1013e-01    68.93
 315.7483  1.0528e+00    89.58
 315.7508  1.2385e+00   105.38
 315.7533  8.9064e-01    75.78
 315.7558  9.3884e-01    79.88
 315.7583  1.1642e+00    99.06
 315.7608  9.2165e-01    78.42
 315.7633  1.3367e+00   113.74
 315.7658  1.7748e+00   151.02
 315.7683  5.5180e-01    46.95
 315.7708 -2.8959e-01   -24.64
 315.7733 -8.2671e-02    -7.03
 315.7758  7.0227e-01    59.76
 315.7783  1.0381e+00    88.33
 315.7808  2.3189e-01    19.73
 315.7833 -5.2395e-01   -44.59
 315.7858 -7.8405e-01   -66.72
 315.7883 -7.0944e-01   -60.37
 315.7908 -4.3969e-01   -37.42
 315.7933 -2.0093e-01   -17.10
 315.7958 -4.3820e-01   -37.29
 315.7983 -1.8666e-01   -15.88
 315.8008  7.0136e-01    59.68
 315.8033  1.4146e+00   120.38
 315.8058  8.4905e-01    72.25
 315.8083 -1.0698e-01    -9.10
 315.8108  3.4045e-01    28.97
 315.8133  4.6658e-01    39.71
 315.8158 -6.2375e-02    -5.31
 315.8183 -1.6804e-01   -14.30
 315.8208 -1.2346e-01   -10.51
 315.8233  1.3943e-03     0.12
 315.8258 -4.3596e-01   -37.10
 315.8283 -1.1341e+00   -96.52
 315.8308 -8.3422e-01   -71.00
 315.8333 -4.3083e-01   -36.67
 315.8358 -5.5233e-01   -47.01
 315.8383 -4.8825e-01   -41.55
 315.8408 -5.6832e-01   -48.37
 315.8433 -1.0488e+00   -89.26
 315.8458 -1.0359e+00   -88.17
 315.8483 -5.7478e-01   -48.92
 315.8508 -4.1193e-02    -3.51
 315.8533  1.0761e-01     9.16
 315.8558  7.0322e-02     5.99
 315.8583  4.7782e-01    40.67
 315.8608  5.5851e-01    47.54
 315.8633  1.7876e-01    15.21
 315.8658 -1.8398e-01   -15.66
 315.8683 -3.6009e-01   -30.65
 315.8708 -4.6912e-01   -39.93
 315.8733 -4.0360e-01   -34.35
 315.8758 -4.5860e-01   -39.04
 315.8783 -5.5722e-01   -47.43
 315.8808 -4.9554e-01   -42.18
 315.8833 -3.7634e-01   -32.03
 315.8858 -5.0063e-01   -42.61
 315.8883  1.6880e-01    14.37
